"long","lat","gu"
127.0706066,37.59785054,"중랑구"
127.0706066,37.59785054,"중랑구"
127.0705617,37.59770531,"중랑구"
127.0706066,37.59785054,"중랑구"
127.070679,37.59781856,"중랑구"
127.070836,37.59794163,"중랑구"
127.071212,37.59776609,"중랑구"
127.0712224,37.59776385,"중랑구"
127.0712336,37.5977672,"중랑구"
127.0701597,37.59585892,"중랑구"
127.0701601,37.59624341,"중랑구"
127.0701601,37.59624341,"중랑구"
127.0702392,37.59672707,"중랑구"
127.0702392,37.59672707,"중랑구"
127.0702947,37.59694575,"중랑구"
127.0703482,37.5971394,"중랑구"
127.0704295,37.597337,"중랑구"
127.0704295,37.597337,"중랑구"
127.0705151,37.59752641,"중랑구"
127.0701893,37.59651597,"중랑구"
127.0701377,37.59542465,"중랑구"
127.0701377,37.59542465,"중랑구"
127.0701529,37.59515232,"중랑구"
127.0701912,37.59486407,"중랑구"
127.0702374,37.59464869,"중랑구"
127.0702374,37.59464869,"중랑구"
127.0703512,37.59428253,"중랑구"
127.0736784,37.58601851,"중랑구"
127.0741782,37.58627444,"중랑구"
127.0742406,37.58621076,"중랑구"
127.0741782,37.58627444,"중랑구"
127.0736784,37.58601851,"중랑구"
127.0741782,37.58627444,"중랑구"
127.0739676,37.58616288,"중랑구"
127.0736784,37.58601851,"중랑구"
127.074728,37.58584821,"중랑구"
127.0715437,37.58895591,"중랑구"
127.0715976,37.58875876,"중랑구"
127.0717247,37.58845269,"중랑구"
127.0718313,37.58827536,"중랑구"
127.0715437,37.58895591,"중랑구"
127.0748689,37.58576114,"중랑구"
127.0757311,37.61657537,"중랑구"
127.0757311,37.61657537,"중랑구"
127.0757525,37.61671138,"중랑구"
127.0754819,37.61663603,"중랑구"
127.0751511,37.61652284,"중랑구"
127.0749838,37.61659926,"중랑구"
127.0749838,37.61659926,"중랑구"
127.0749838,37.61659926,"중랑구"
127.0744895,37.61641678,"중랑구"
127.0741055,37.61621115,"중랑구"
127.0741055,37.61621115,"중랑구"
127.0737779,37.61603105,"중랑구"
127.0733775,37.61580398,"중랑구"
127.0733775,37.61580398,"중랑구"
127.0733775,37.61580398,"중랑구"
127.0731613,37.61562823,"중랑구"
127.0733341,37.61514952,"중랑구"
127.0733799,37.6153513,"중랑구"
127.0728243,37.6153606,"중랑구"
127.0721205,37.61490741,"중랑구"
127.0720837,37.61478572,"중랑구"
127.0720587,37.61457849,"중랑구"
127.0720537,37.61449164,"중랑구"
127.072061,37.61436334,"중랑구"
127.0732838,37.61483988,"중랑구"
127.0721148,37.61530523,"중랑구"
127.0721205,37.61490741,"중랑구"
127.0725481,37.61512521,"중랑구"
127.0721205,37.61490741,"중랑구"
127.072061,37.61436334,"중랑구"
127.0721316,37.61378475,"중랑구"
127.0721519,37.61339217,"중랑구"
127.0721519,37.61339217,"중랑구"
127.072212,37.61241387,"중랑구"
127.072212,37.61241387,"중랑구"
127.0736649,37.58752525,"중랑구"
127.0736424,37.58752794,"중랑구"
127.073632,37.58752214,"중랑구"
127.0736268,37.58751431,"중랑구"
127.0736256,37.58750491,"중랑구"
127.0722603,37.61143067,"중랑구"
127.0722603,37.61143067,"중랑구"
127.0723042,37.61045543,"중랑구"
127.0723042,37.61045543,"중랑구"
127.0723682,37.60947664,"중랑구"
127.0723682,37.60947664,"중랑구"
127.0724146,37.60852923,"중랑구"
127.0724146,37.60852923,"중랑구"
127.0724644,37.60814053,"중랑구"
127.072511,37.60790966,"중랑구"
127.0725756,37.60760465,"중랑구"
127.0725756,37.60760465,"중랑구"
127.0726533,37.60725489,"중랑구"
127.0726743,37.6071469,"중랑구"
127.0726836,37.60709291,"중랑구"
127.0726929,37.60703705,"중랑구"
127.0726734,37.60669853,"중랑구"
127.0726734,37.60669853,"중랑구"
127.0728922,37.60571951,"중랑구"
127.0728922,37.60571951,"중랑구"
127.073139,37.60474986,"중랑구"
127.073139,37.60474986,"중랑구"
127.0733541,37.60377808,"중랑구"
127.0733541,37.60377808,"중랑구"
127.0734298,37.60342363,"중랑구"
127.0734625,37.60333239,"중랑구"
127.0735045,37.6032579,"중랑구"
127.0735512,37.60317596,"중랑구"
127.0735769,37.60310893,"중랑구"
127.0736049,37.60298046,"중랑구"
127.0736094,37.60281105,"중랑구"
127.0736094,37.60281105,"중랑구"
127.0735856,37.60239664,"중랑구"
127.0738651,37.58740876,"중랑구"
127.0736438,37.58722431,"중랑구"
127.073811,37.58701303,"중랑구"
127.0738438,37.58693595,"중랑구"
127.0729689,37.58686711,"중랑구"
127.0729689,37.58686711,"중랑구"
127.0731147,37.58669933,"중랑구"
127.0733667,37.58639547,"중랑구"
127.073562,37.60222724,"중랑구"
127.0735092,37.60183955,"중랑구"
127.0735092,37.60183955,"중랑구"
127.0734347,37.60151494,"중랑구"
127.0733972,37.60138279,"중랑구"
127.0733151,37.60118178,"중랑구"
127.0732124,37.60097141,"중랑구"
127.0732124,37.60097141,"중랑구"
127.0730357,37.60061299,"중랑구"
127.0729255,37.60041945,"중랑구"
127.0727573,37.60017145,"중랑구"
127.0727573,37.60017145,"중랑구"
127.0725962,37.59993048,"중랑구"
127.0724499,37.59975458,"중랑구"
127.0721961,37.59947525,"중랑구"
127.0721961,37.59947525,"중랑구"
127.0715762,37.59881818,"중랑구"
127.0715762,37.59881818,"중랑구"
127.0717927,37.5979447,"중랑구"
127.0712005,37.59844077,"중랑구"
127.0710489,37.59833166,"중랑구"
127.0708781,37.59817606,"중랑구"
127.0712005,37.59844077,"중랑구"
127.0709335,37.59815931,"중랑구"
127.0709379,37.59816546,"중랑구"
127.0709437,37.59817018,"중랑구"
127.0709525,37.59817259,"중랑구"
